hotel_name,hotel_location,hotel_prices,hotel_rating_number,hotel_review_number,link
北京宝辰饭店Howard Johnson,"东城区, 北京",CHF 97,8.8,2641,https://www.booking.com/hotel/cn/bei-jing-bao-chen-fan-dian.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=25719936_246078718_0_2_0_456959&highlighted_blocks=25719936_246078718_0_2_0_456959&matching_block_id=25719936_246078718_0_2_0_456959&sr_pri_blocks=25719936_246078718_0_2_0_456959_84827&from=searchresults
北京中成天坛假日酒店,"丰台区, 北京",CHF 70,8.1,603,https://www.booking.com/hotel/cn/holiday-inn-temple-of-heaven-beijing.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=6940028_246089289_2_2_8_456967&highlighted_blocks=6940028_246089289_2_2_8_456967&matching_block_id=6940028_246089289_2_2_8_456967&sr_pri_blocks=6940028_246089289_2_2_8_456967_61798&from=searchresults
北京东方君悦大酒店,"东城区, 北京",CHF 183,8.8,310,https://www.booking.com/hotel/cn/grand-hyatt-beijing.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=49980120_370748148_2_2_0&highlighted_blocks=49980120_370748148_2_2_0&matching_block_id=49980120_370748148_2_2_0&sr_pri_blocks=49980120_370748148_2_2_0__160908&from=searchresults
Beijing Xingshe Youth Hostel,"西城区, 北京",CHF 57,8.8,5,https://www.booking.com/hotel/cn/bei-jing-qing-nian-jiu-dian-ping-an-li-dian.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=436192104_130753161_3_0_0&highlighted_blocks=436192104_130753161_3_0_0&matching_block_id=436192104_130753161_3_0_0&sr_pri_blocks=436192104_130753161_3_0_0__50000&from=searchresults
北京礼士智选假日酒店,"东城区, 北京",CHF 100,8.5,269,https://www.booking.com/hotel/cn/holiday-inn-express-beijing-downtown-an-ihg.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=1072933904_385007198_2_1_0&highlighted_blocks=1072933904_385007198_2_1_0&matching_block_id=1072933904_385007198_2_1_0&sr_pri_blocks=1072933904_385007198_2_1_0__87940&from=searchresults
北京丽都皇冠假日酒店,"朝阳区, 北京",CHF 95,8.7,105,https://www.booking.com/hotel/cn/crowne-plaza-beijing-lido.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=100192612_364834797_2_34_0&highlighted_blocks=100192612_364834797_2_34_0&matching_block_id=100192612_364834797_2_34_0&sr_pri_blocks=100192612_364834797_2_34_0__83719&from=searchresults
北京燕莎中心凯宾斯基饭店,"朝阳区, 北京",CHF 133,8.9,511,https://www.booking.com/hotel/cn/kempinski-beijing-lufthansa-center.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=7666127_188140606_2_2_0&highlighted_blocks=7666127_188140606_2_2_0&matching_block_id=7666127_188140606_2_2_0&sr_pri_blocks=7666127_188140606_2_2_0__117000&from_sustainable_property_sr=1&from=searchresults
北京望京凯悦酒店,"朝阳区, 北京",CHF 139,9.2,149,https://www.booking.com/hotel/cn/hyatt-regency-beijing-wangjing.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=349561002_354289467_2_2_0&highlighted_blocks=349561002_354289467_2_2_0&matching_block_id=349561002_354289467_2_2_0&sr_pri_blocks=349561002_354289467_2_2_0__122430&from=searchresults
北京方恒假日酒店,"朝阳区, 北京",CHF 86,8.9,317,https://www.booking.com/hotel/cn/holiday-inn-beijing-focus-square.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=27087401_244931741_2_34_0&highlighted_blocks=27087401_244931741_2_34_0&matching_block_id=27087401_244931741_2_34_0&sr_pri_blocks=27087401_244931741_2_34_0__75673&from=searchresults
北京大兴国际机场希尔顿花园酒店,北京,CHF 78,9.1,841,https://www.booking.com/hotel/cn/hilton-garden-inn-beijing-daxing-international-airport.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=936143506_365823114_2_34_0&highlighted_blocks=936143506_365823114_2_34_0&matching_block_id=936143506_365823114_2_34_0&sr_pri_blocks=936143506_365823114_2_34_0__68794&from_sustainable_property_sr=1&from=searchresults
北京东直门智选假日酒店,"三里屯, 北京",CHF 85,8.9,3439,https://www.booking.com/hotel/cn/holiday-inn-express-beijing-dongzhimen.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=31015012_390483503_2_1_0&highlighted_blocks=31015012_390483503_2_1_0&matching_block_id=31015012_390483503_2_1_0&sr_pri_blocks=31015012_390483503_2_1_0__74298&from=searchresults
隐沫酒店（北京天安门广场前门店）,"西城区, 北京",CHF 57,8.3,148,https://www.booking.com/hotel/cn/365-inn.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=105489827_411732941_3_42_0&highlighted_blocks=105489827_411732941_3_42_0&matching_block_id=105489827_411732941_3_42_0&sr_pri_blocks=105489827_411732941_3_42_0__50000&from=searchresults
北京广东大厦,"海淀区, 北京",CHF 73,8.9,45,https://www.booking.com/hotel/cn/bei-jing-yan-dong-da-sha.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=750369801_370784059_2_0_0_445130&highlighted_blocks=750369801_370784059_2_0_0_445130&matching_block_id=750369801_370784059_2_0_0_445130&sr_pri_blocks=750369801_370784059_2_0_0_445130_63800&from=searchresults
北京北方佳苑饭店王府井店,"东城区, 北京",CHF 73,7.6,17,https://www.booking.com/hotel/cn/the-north-garden.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=46663515_202155534_2_2_0&highlighted_blocks=46663515_202155534_2_2_0&matching_block_id=46663515_202155534_2_2_0&sr_pri_blocks=46663515_202155534_2_2_0__63936&from=searchresults
北京会议中心智选假日酒店,"朝阳区, 北京",CHF 77,8.9,41,https://www.booking.com/hotel/cn/holiday-inn-express-beijing-conference-center-an-ihg.zh-cn.html?label=gen173nr-1BCAEoggI46AdIM1gEaGyIAQGYAQm4AQfIAQzYAQHoAQGIAgGoAgO4AueF3b0GwAIB0gIkMjFkYTVhYTMtZWM5ZC00ZmYyLTkzMDktZjUxN2IxMzVjZTdk2AIF4AIB&sid=e926d54c76bc20f9416c4f573131702a&aid=304142&ucfs=1&arphpl=1&checkin=2025-04-25&checkout=2025-04-26&dest_id=-1898541&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=4e6f486f66000706&srepoch=1745662688&all_sr_blocks=1169882202_389593721_2_1_0&highlighted_blocks=1169882202_389593721_2_1_0&matching_block_id=1169882202_389593721_2_1_0&sr_pri_blocks=1169882202_389593721_2_1_0__67581&from=searchresults
